index,Major_code,Major,Major_category,Grad_total,Grad_sample_size,Grad_employed,Grad_full_time_year_round,Grad_unemployed,Grad_unemployment_rate,Grad_median,Grad_P25,Grad_P75,Nongrad_total,Nongrad_employed,Nongrad_full_time_year_round,Nongrad_unemployed,Nongrad_unemployment_rate,Nongrad_median,Nongrad_P25,Nongrad_P75,Grad_share,Grad_premium
127,3701,APPLIED MATHEMATICS,Computers & Mathematics,17075,386,14113,11699,416,0.02863239,100000.0,65000,135000.0,17276,13704,11253,773,0.05339504,76000.0,48000,110000.0,0.497074321,0.315789474
128,3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,21973,429,16979,14113,751,0.042357586,92000.0,64000,125000.0,22210,17024,13665,874,0.048832272,75000.0,45000,106000.0,0.497317973,0.226666667
129,2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts,215376,3187,145043,98947,5820,0.038578048,67000.0,48000,100000.0,216138,137925,92812,8372,0.057226054,50000.0,35000,70000.0,0.499117062,0.34
130,2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education,119073,1646,68997,47671,2263,0.031756946,60000.0,45000,84000.0,118529,71644,49027,3206,0.042832331,47000.0,35000,65000.0,0.501144772,0.276595745
131,3700,MATHEMATICS,Computers & Mathematics,418056,6906,287467,217363,11245,0.037644956,89000.0,60000,127000.0,407046,262174,202078,14142,0.051180532,68000.0,43000,100000.0,0.506671902,0.308823529
132,5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science,695725,14467,548199,455539,22134,0.038808906,92000.0,60000,150000.0,674509,492011,398808,33077,0.062993251,60000.0,40000,95000.0,0.507741743,0.533333333
133,5505,INTERNATIONAL RELATIONS,Social Science,69355,1348,54693,44547,2594,0.045280779,86000.0,55000,132000.0,66901,49168,38384,3157,0.060334448,60000.0,40000,90000.0,0.509005108,0.433333333
134,2410,ENVIRONMENTAL ENGINEERING,Engineering,11722,252,9387,8183,450,0.045745654,81000.0,56000,110000.0,10985,8641,7475,304,0.033985467,71900.0,55000,100000.0,0.516228476,0.126564673
135,3699,MISCELLANEOUS BIOLOGY,Biology & Life Science,27744,553,22488,17787,597,0.025860949,65000.0,43200,108000.0,25601,19978,15600,802,0.038594803,55000.0,35000,75000.0,0.520086231,0.181818182
136,5299,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work,32107,590,24652,18469,777,0.030555665,68000.0,45000,110000.0,29609,20627,14514,1851,0.082347184,47000.0,32000,75000.0,0.520237864,0.446808511
137,2415,METALLURGICAL ENGINEERING,Engineering,13656,251,9299,8095,218,0.022906378,100000.0,74000,135000.0,12555,6692,5415,310,0.044273065,98000.0,66000,123000.0,0.521002632,0.020408163
138,2309,SECONDARY TEACHER EDUCATION,Education,239928,3094,128469,89415,2929,0.022291055,61000.0,48000,80000.0,217166,123329,86002,5494,0.042647664,45000.0,35000,62000.0,0.524898599,0.355555556
139,5005,GEOSCIENCES,Physical Sciences,9006,204,7443,6200,134,0.0176851,90000.0,55000,130000.0,7977,5920,4890,238,0.038648912,58000.0,38000,80000.0,0.530295001,0.551724138
140,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,18877,311,12217,8628,327,0.02606824,82000.0,55000,130000.0,16704,10913,7898,943,0.079537787,52000.0,39000,85000.0,0.53053596,0.576923077
141,2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,21377,447,15822,13676,472,0.028967718,100000.0,74000,147000.0,18682,13391,11561,660,0.046971746,70000.0,48000,100000.0,0.533637884,0.428571429
142,4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,5982,118,5032,3879,239,0.04534244,95000.0,55000,135000.0,5156,4206,3116,184,0.04191344,55000.0,40000,93000.0,0.537080266,0.727272727
143,2313,LANGUAGE AND DRAMA EDUCATION,Education,199901,2757,122260,80860,3921,0.031074409,58000.0,45100,75000.0,169782,102263,63345,4956,0.046223151,43200.0,33300,55000.0,0.540736252,0.342592593
144,2418,NUCLEAR ENGINEERING,Engineering,10520,243,8567,8018,100,0.011538018,110000.0,85000,148000.0,8688,6730,6258,144,0.020948502,100000.0,65000,130000.0,0.547688463,0.1
145,5402,PUBLIC POLICY,Law & Public Policy,15284,338,12875,10988,415,0.031226486,89000.0,60000,136000.0,12158,9478,7456,441,0.044460127,63000.0,41800,94000.0,0.55695649,0.412698413
146,2305,MATHEMATICS TEACHER EDUCATION,Education,80826,1194,51750,34672,748,0.014248162,60000.0,47500,80000.0,63346,42354,27419,1610,0.036620872,45000.0,35000,62000.0,0.560622035,0.333333333
147,2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education,69301,993,42043,28805,954,0.022187594,62000.0,48000,84000.0,53851,34223,23656,1460,0.040915842,48000.0,36000,63000.0,0.562727361,0.291666667
148,3606,MICROBIOLOGY,Biology & Life Science,83816,1631,66240,53208,2201,0.032159086,85000.0,53000,141000.0,63129,42544,33085,2062,0.046226965,60000.0,40500,85000.0,0.570390282,0.416666667
149,4801,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts,250420,4566,182113,138724,7369,0.038890238,65000.0,41900,105000.0,184971,124979,90406,9196,0.068537358,46000.0,30000,72000.0,0.575161177,0.413043478
150,2310,SPECIAL NEEDS EDUCATION,Education,192495,3240,144858,98736,3329,0.022464859,58000.0,46000,75000.0,140128,100814,68067,4629,0.043900496,43000.0,35000,54000.0,0.578718249,0.348837209
151,3602,BOTANY,Biology & Life Science,19960,323,13071,9457,449,0.033210059,70000.0,42000,110000.0,13863,9100,6255,327,0.034687599,50000.0,32000,76000.0,0.590130976,0.4
152,3600,BIOLOGY,Biology & Life Science,1085977,21994,898342,703347,19368,0.021104706,95000.0,56000,174000.0,718231,512669,394936,28639,0.052907033,54000.0,37000,80000.0,0.601913416,0.759259259
153,5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,6331,136,5480,4548,112,0.020028612,96000.0,60000,150000.0,3899,2720,2163,298,0.098740888,85000.0,56000,109000.0,0.61886608,0.129411765
154,5003,CHEMISTRY,Physical Sciences,464784,8694,336838,273532,10411,0.029981368,100000.0,62000,160000.0,282037,180034,145119,10316,0.054194904,60000.0,40000,90000.0,0.622349934,0.666666667
155,3608,PHYSIOLOGY,Biology & Life Science,59363,1155,50450,38252,1078,0.020920664,90000.0,55000,151000.0,34819,25501,18261,1284,0.047937278,50000.0,35000,78000.0,0.630300907,0.8
156,2404,BIOMEDICAL ENGINEERING,Engineering,22155,475,19474,16845,366,0.018447581,90000.0,49000,150000.0,12362,9626,8051,547,0.053769783,70000.0,48000,104000.0,0.641857635,0.285714286
157,3501,LIBRARY SCIENCE,Education,28963,314,15651,10914,483,0.029936779,52000.0,41996,76000.0,15850,6798,4292,743,0.098528047,40000.0,30000,55000.0,0.646307991,0.3
158,3603,MOLECULAR BIOLOGY,Biology & Life Science,37872,875,32729,26944,950,0.028207488,85000.0,50000,155000.0,20564,15914,11602,679,0.04092087,50000.0,31000,75000.0,0.648093641,0.7
159,3607,PHARMACOLOGY,Biology & Life Science,8853,168,7571,6238,188,0.024229927,105000.0,70000,137000.0,4506,3126,2463,57,0.017907634,66000.0,38000,105000.0,0.662699304,0.590909091
160,3609,ZOOLOGY,Biology & Life Science,106415,1978,80607,60310,1723,0.020927973,110000.0,65000,230000.0,52896,34015,25588,1680,0.047065415,55000.0,35000,88000.0,0.667970197,1.0
161,5007,PHYSICS,Physical Sciences,227722,4361,168583,140603,6189,0.035411851,100000.0,62000,140000.0,111298,72752,57486,3832,0.050036561,74000.0,43000,110000.0,0.671706684,0.351351351
162,3611,NEUROSCIENCE,Biology & Life Science,14429,286,12551,10044,225,0.017611146,58000.0,45000,90000.0,6993,4802,3580,360,0.069740411,40000.0,30000,79000.0,0.673559892,0.45
163,5201,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work,28941,396,18993,12772,499,0.025600246,61000.0,45500,84000.0,13515,8561,5713,655,0.071072049,40000.0,34000,70000.0,0.681670435,0.525
164,3601,BIOCHEMICAL SCIENCES,Biology & Life Science,128892,2765,109944,90589,2728,0.024211872,96000.0,55000,175000.0,58550,43165,34108,2888,0.062710355,55000.0,36000,85000.0,0.687636709,0.745454545
165,3605,GENETICS,Biology & Life Science,12106,261,10450,9060,207,0.019423853,78000.0,48000,120000.0,5255,4020,3187,192,0.045584046,56000.0,36000,90000.0,0.697310063,0.392857143
166,5008,MATERIALS SCIENCE,Engineering,14184,299,12263,9894,273,0.021777281,95000.0,65000,125000.0,5643,4619,4001,134,0.02819272,80000.0,65000,103000.0,0.715388107,0.1875
167,6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,182108,2947,145102,93323,2103,0.0142862,65000.0,50000,83000.0,59427,39683,24385,1578,0.038244347,44000.0,32700,60000.0,0.753961124,0.477272727
168,5203,COUNSELING PSYCHOLOGY,Psychology & Social Work,51812,724,38468,28808,1420,0.035599679,50000.0,36000,65000.0,16781,12377,8502,835,0.063200121,40000.0,25000,50000.0,0.755354045,0.25
169,5202,CLINICAL PSYCHOLOGY,Psychology & Social Work,22716,355,16612,12022,782,0.044958032,70000.0,47000,95000.0,6519,4368,3033,357,0.075555556,46000.0,30000,70000.0,0.777013853,0.52173913
170,6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,114971,1766,78132,58825,1732,0.021686868,135000.0,70000,294000.0,26320,16221,12185,1012,0.05872454,51000.0,35000,87000.0,0.813717788,1.647058824
171,2303,SCHOOL STUDENT COUNSELING,Education,19841,260,11313,8130,613,0.051400302,56000.0,42000,70000.0,2232,1328,980,169,0.112892452,42000.0,27000,51000.0,0.898880986,0.333333333
172,2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education,54159,841,34142,26850,582,0.016760742,65000.0,50000,86000.0,4003,3079,2434,0,0.0,58000.0,45000,79000.0,0.931174994,0.120689655
